Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,LF rw,Rü DM,-,Beg z he Ev 1 NFH,BF,x (leicht),G
2,RF sw leicht rw,Rü DM,-,Weit he auf 2 und 3,B,-,L
3,LF schl z RF,Rü DM,-,Se Ev 3,BF,-,L
