Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,LF vw,Fr DM,Beg z dr n L,Beg z he Ev 1,FB,x,G
2,RF sw,Rü DW,1/4 zw 1-2,Weit he auf 2 und 3,B,-,L
3,LF schl z RF,Rü TR,1/8 zw 2-3,Se Ev 3,BF,-,L
4,RF rw,Rü TR,Beg z dr n L,Beg z he Ev 4 NFH,BF,x,G
5,LF sw,Zeig DW,3/8 zw 4-5 K dr weniger,Weit he auf 5 und 6,B,-,R
6,RF schl z LF,Fr DW,K voll Dr,Se Ev 6,BF,-,R
