Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung,Rhythmus
1,LF rw,Rü DW,Beg z dr n R,He Ev 1 NFH,BF,x,G,S
2,RF sw,Zeig z TR,3/8 zw 1-2 K dr weniger,Hoch,B,-,L,Q
3,LF schl z RF,Fr TR,K voll Dr,Hoch. Se Ev 3,BF,-,L,Q
4,RF vw,Fr TR,Bis zu 1/2 n R auf 4 (Achsenartige Drehung),-,FBF,x,G,S
