Schritt,Fußpositionen,Linienführung,Fußtechnik,KGB,Rhythmus
1,RF sw in PP,Entlang TR zeig DM,F,-,S
2,LF vw und gekreuzt in PP und KGBS,Entlang TR zeig DM,F,x,Q
3,RF sw leicht rw,Rü DW,IK Fuß,-,Q
4,LF schl z RF leicht vw,Rü DW,Ganzer Fuß,-,S
