Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,RF vw,Fr DM,-,Beg z he Ev 1,FB,-,-
2,LF vw,Fr DM,Beg z dr n L,Weit he auf 2,B,x,-
3,RF sw leicht rw,Rü DW,1/4 zw 2-3 K dr weniger,Hoch. Se Ev 3,BF,-,-
4,LF rw in KGBS,Rü DW,-,-,B,x,-
