Schritt,Fußpositionen,Linienführung,Fußtechnik,KGB,Rhythmus
1,LF vw in KGBS,DM,F,x,Q
2,RF sw,Rü DW,BF,-,Q
3,LF rw in KGBS,In TR,BF,-,S
4,RF rw,In TR,BF,x,Q
5,LF sw leicht vw,Zeig DW,IK Fuß,-,Q
6,RF schl z LF leicht rw,Fr DW,Ganzer Fuß,-,S
