StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;RF crossed behind LF;T;Latin Cross;1/2 to R
2;Q;1;LF to side;B flat;Side Step;1/2 to R
3;Q;3/4;RF to side;B;Jive Chasse RLR to side;-
4;a;1/4;LF half closed to RF;B;Jive Chasse RLR to side;-
5;Q;1;RF to side;B flat;Jive Chasse RLR to side;-
