StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back;B flat;Bwd Walk;No turn
2;3;1;LF in place;B flat;Wt transfer in place;No turn
3;4.1;2;RF to side;B flat;Side step;No turn
