StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd / T turned out;B flat;Fwd Cucaracha;-
2;3;1;RF in place;B flat;Fwd Cucaracha;-
3;4.1;2;LF closed to RF;B flat;Fwd Cucaracha;-
4;2;1;RF back;B flat;Bwd Walk;1/8 to R
5;3;1;LF in place;B flat;Wt transfer in place;1/8 to R
6;4.1;2;RF fwd;B flat;Fwd Walk;1/8 to R
