StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;LF to side and slightly back;B flat;Fwd Walks / turning to R;1/2 to R
2;Q;1;RF fwd and across LF;B flat;Fwd Walks / turning to R;1/2 to R
3;Q;3/4;LF to side;B;Jive Chasse LRL to side;-
4;a;1/4;RF half closed to LF;B;Jive Chasse LRL to side;-
5;Q;1;LF to side;B flat;Jive Chasse LRL to side;-
