StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF fwd in Open CPP / T turned out;B flat;Checked Fwd Walk;1/8 to L
2;3;1;LF in place;B flat;Wt transfer in place;1/4 to R
3;4;1/2;RF to side;B flat;Cha Cha Cha Chasse RLR to side;1/4 to R
4;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR to side;1/4 to R
5;1;1;RF to side;B flat;Cha Cha Cha Chasse RLR to side;1/4 to R
