StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF fwd / and across body / turning / to finish RF back and slightly to side;B flat;Fwd Walk Turning;7/8 to L
2;3;1;LF in place;B flat;Wt transfer in place;7/8 to L
3;4.1;2;RF to side;B flat;Fwd Walk Turning;7/8 to L
