StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;LF back in Fallaway Pos;B flat;Jive Rock;1/8 to L
2;Q;1;RF in place;B flat;Jive Rock;-
3;Q;3/4;LF to side in PP;B;Jive Chasse LRL diag. fwd;-
4;a;1/4;RF half closed to LF in PP;B;Jive Chasse LRL diag. fwd;-
5;Q;1;LF to side in PP;B flat;Jive Chasse LRL diag. fwd;-
6;Q;3/4;RF fwd;B;Jive Chasse RLR fwd;1/8 to L
7;a;1/4;LF half closed to RF;B;Jive Chasse RLR fwd;1/8 to L
8;Q;1;RF fwd;B flat;Jive Chasse RLR fwd;1/8 to L
