StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;LF in place;B flat;Wt transfer in place / Hips swing to L;-
2;Q;1;RF in place;B flat;Wt transfer in place / Hips swing to R;-
3;Q;3/4;LF to side;B;Jive Chasse LRL to side;-
4;a;1/4;RF half closed to LF;B;Jive Chasse LRL to side;-
5;Q;1;LF to side;B flat;Jive Chasse LRL to side;-
6;Q;3/4;RF to side;B;Jive Chasse RLR to side;-
7;a;1/4;LF half closed to RF;B;Jive Chasse RLR to side;-
8;Q;1;RF to side;B flat;Jive Chasse RLR to side;-
