StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF closed to LF;B flat;F close with wt change;-
2;3;1;LF fwd;B flat;Fwd Walk;-
3;4.1;2;RF fwd;B flat;Fwd Walk;-
4;2;1;LF fwd;B flat;Fwd Walk;1/8 to L
5;3;1;RF back and slightly to side;B flat;Fwd Walk Turning;3/8 to L
6;4.1;2;LF back;T;Bwd Walk;1/8 to L
