StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;LF back in Fallaway Pos;B flat;Jive Rock;1/8 to L
2;Q;1;RF in place;B flat;Jive Rock;1/8 to R
3;Q;3/4;LF to side;B;Jive Chasse LRL to side turning to R;1/8 to R
4;a;1/4;RF half closed to LF;B;Jive Chasse LRL to side turning to R;1/8 to R
5;Q;1;LF to side;B flat;Jive Chasse LRL to side turning to R;1/8 to R
6;Q;3/4;RF to side;B;Jive Chasse RLR to side;-
7;a;1/4;LF half closed to RF;B;Jive Chasse RLR to side;-
8;Q;1;RF to side;B flat;Jive Chasse RLR to side;-
