StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back;B flat;Bwd Walk;-
2;3;1;LF in place;B flat;Wt transfer in place;-
3;4.1;2;RF to side and slightly fwd;B flat;Fwd Walk;-
4;2;1;LF fwd OP on L side;B flat;Fwd Walk;-
5;3;1;RF back and slightly to side;B flat;Fwd Walk Turning;3/8 to L
6;4.1;2;LF back;B flat;Bwd Walk;1/4 to L
