StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd / T turned out outside partner on L side;B flat;Checked Fwd Walk;-
2;3;1;RF in place;B flat;Wt transfer in place;1/8 to L
3;4.1;2;LF to side;B flat;Side step;1/8 to L
