StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd in Open PP / T turned out;B flat;Checked Fwd Walk;1/8 to R
2;3;1;RF in place;B flat;Wt transfer in place;1/4 to L
3;4.1;2;LF to side;B flat;Side Step;1/4 to L
