StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;LF back;B flat;Jive Rock;-
2;Q;1;RF in place;B flat;Jive Rock;-
3;Q;3/4;LF slightly fwd;B;Jive Chasse LRL / almost in place;-
4;a;1/4;RF half closed to LF;B;Jive Chasse LRL / almost in place;-
5;Q;1;LF slightly fwd;B flat;Jive Chasse LRL / almost in place;-
6;Q;3/4;RF slightly fwd;B;Jive Chasse RLR / almost in place;-
7;a;1/4;LF half closed to RF;B;Jive Chasse RLR / almost in place;-
8;Q;1;LF slightly fwd;B flat;Jive Chasse RLR / almost in place;-
