StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF fwd / across body / turning / to finish RF back and slightly to side;B flat;Fwd Walk Turning;1 complete turn to L
2;3;1;LF in place;B flat;Wt transfer in place;1 complete turn to L
3;4;1/2;RF to side;B flat;Cha Cha Cha Chasse RLR turning to L;1 complete turn to L
4;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR turning to L;1 complete turn to L
5;1;1;RF to side;B flat;Cha Cha Cha Chasse RLR turning to L;1 complete turn to L
