StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd / across body / turning / to finish LF back and slightly to side;B flat;Fwd Walk Turning;1 complete turn to R
2;3;1;RF in place;B flat;Wt transfer in place;1 complete turn to R
3;4;1/2;LF to side;B flat;Cha Cha Cha Chasse LRL turning to R;1 complete turn to R
4;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL turning to R;1 complete turn to R
5;1;1;LF to side;B flat;Cha Cha Cha Chasse LRL turning to R;1 complete turn to R
