StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back;B flat;Bwd Walk;-
2;3;1;LF in place;B flat;Wt transfer in place;1/8 to L
3;4.1;2;RF to side and slightly fwd;B flat;Fwd Walk Turning;1/8 to L
4;2;1;LF fwd / T turned out;B flat;Checked Fwd Walk;-
5;3;1;RF in place;B flat;Wt transfer in place;1/8 to L
6;4.1;2;LF to side and slightly back;B flat;Bwd Walk Turning;1/8 to L
