StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;Q;1;RF back;B flat;Jive Rock;-
2;Q;1;LF in place;B flat;Jive Rock;-
3;Q;3/4;RF fwd;B;Jive Chasse RLR fwd;-
4;a;1/4;LF half closed to RF;B;Jive Chasse RLR fwd;-
5;Q;1;RF fwd;B flat;Jive Chasse RLR fwd;-
6;Q;3/4;LF to side;B;Jive Chasse LRL to side;-
7;a;1/4;RF half closed to LF;B;Jive Chasse LRL to side;-
8;Q;1;LF to side;B flat;Jive Chasse LRL to side;-
