StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd in Open CPP / T turned out;B flat;Checked Fwd Walk;1/8 to R
2;3;1;RF in place;B flat;Wt transfer in place;1/4 to L
3;4;1/2;LF to side;B flat;Cha Cha Cha Chasse LRL to side;1/4 to L
4;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL to side;1/4 to L
5;1;1;LF to side;B flat;Cha Cha Cha Chasse LRL to side;1/4 to L
