StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to R
2;3;1;LF in place;B flat;Wt transfer in place;-
3;4.1;2;RF to side;B flat;Fwd Walk Turning;1/4 to L
4;2;1;LF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to L
5;3;1;RF in place;B flat;Wt transfer in place;-
6;4.1;2;LF to side;B flat;Fwd Walk Turning;1/4 to R
7;2;1;RF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to R
8;3;1;LF in place;B flat;Wt transfer in place;-
9;4.1;2;RF to side;B flat;Fwd Walk Turning;1/4 to L
