Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung,Rhythmus
1,LF vw,Fr TR,Beg z dr n L,He Ev 1,FB,x,G,S
2,RF sw,Rü DW,3/8 zw 1-2,Hoch,B,-,L,Q
3,LF rw in KGBS,Rü TR,1/8 zw 2-3,Hoch. Se Ev 3,BF,-,L,Q
4,RF rw,Rü TR,-,-,B,x,G,S
