Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,RF vw,Fr DW,Beg z dr n R,Beg z he Ev 1,FB,x,G
2,LF sw,Rü DM,1/4 zw 1-2,Weit he auf 2 und 3,B,-,R
3,RF schl z LF,Rü TR,1/8 zw 2-3,Se Ev 3,BF,-,R
4,LF rw,Rü TR,Beg z dr n R,Beg z he Ev 4 NFH,BF,x,G
5,RF sw,Zeig DM,3/8 zw 4-5 K dr weniger,Weit he auf 5 und 6,B,-,L
6,LF schl z RF,Fr DM,K voll Dr,Se Ev 6,BF,-,L
