Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,RF rw,Rü DM,Beg z dr n L,Beg z he Ev 1 NFH,BF,x,G
2,LF sw,Zeig in TR,3/8 zw 1-2 K dr weniger,Weit he auf 2 und 3,B,-,R
3,RF schl z LF,Fr TR,K voll Dr,Se Ev 3,BF,-,R
4,LF vw,Fr TR,Beg z dr n L,Beg z he Ev 4,FB,x,G
5,RF sw,Rü W,1/4 zw 4-5,Weit he auf 5 und 6,B,-,L
6,LF schl z RF,Rü DW,1/8 zw 5-6,Se Ev 6,BF,-,L
