Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,RF vw,Fr DM,-,Beg z he Ev 1,FB,x (leicht),G
2,LF sw leicht vw,Fr DM,-,Weit he auf 2 und 3,B,-,R,
3,RF schl z LF,Fr DM,-,Se Ev 3,BF,-,R
