Schritt,Fußpositionen,Linienführung,Fußtechnik,KGB,Rhythmus
1,RF rw in KGBS,DM,BF,x,Q
2,LF sw leicht vw,Zeig in TR,Ganzer Fuß,-,Q
3,RF vw in KGBS AP,In TR,F,-,S
4,LF vw,In TR,F,x,Q
5,RF sw leicht rw,Rü DW,IK BF,-,Q
6,LF schl z RF leicht vw,Rü DW,Ganzer Fuß,-,S
