Schritt,Fußpositionen,Linienführung,Drehgrad,Heben & Senken,Fußtechnik,KGB,Neigung
1,LF rw,Rü DW,Beg z dr n R,Beg z he Ev 1 NFH,BF,x,G
2,RF sw,Zeig in TR,3/8 zw 1-2 K dr weniger,Weit he auf 2 und 3,B,-,L
3,LF schl z RF,Fr TR,K voll Dr,Se Ev 3,BF,-,L
4,RF vw,Fr TR,Beg z dr n R,Beg z he Ev 4,FB,x,G
5,LF sw,Rü M,1/4 zw 4-5,Weit he auf 5 und 6,B,-,R
6,RF schl z LF,Rü DM,1/8 zw 5-6,Se Ev 6,BF,-,R
