Schritt,Fußpositionen,Linienführung,Fußtechnik,Drehgrad,KGB,Rhythmus
1,RF rw in KGBS,DW,BF,1/4 n L zw 1-2,x,Q/Q
2,LF sw leicht vw,Zeig DW gegen TR,Ganzer Fuß,-,-,Q/Q
3,RF vw in KGBS AP,DW gegen TR,F,-,-,Q/S
4,LF vw leicht n L,DW gegen TR,B,-,-,Q/+
5,RF platziert sw ohne Gewicht in PP,Fr DM der neuen TR,F (LF) und IK B RF,1/4 n R,-,S/S
